id,title,author,url,checkedAt,license,licenseEvidenceUrl,webRedistribution,attribution,variant,interiorCoverage,separateNodes,format,bytes,repairWork,decision
sketchfab-alexsmith99-m3-rear-du,tesla model 3 rear drive unit,alexsmith99,https://sketchfab.com/3d-models/none-217d10e19ebb4de2bf69bb827aa09c9e,2026-09-08,CC-BY-NC-4.0,https://sketchfab.com/3d-models/none-217d10e19ebb4de2bf69bb827aa09c9e,Restricted (NonCommercial),tesla model 3 rear drive unit by alexsmith99 (CC BY-NC 4.0),2018+ Tesla Model 3 Rear Drive Unit (exterior photogrammetry scan),0% (exterior housing only),no,GLTF/USDZ,unknown,High: decimate 753k faces and model all internal components from scratch,Excluded (Veto: CC-BY-NC restricts web redistribution; 0% interior coverage)
sketchfab-altrous-m3-front-du,Tesla Front Small Drive Unit,altrous (Scan credited to Brock Winberg),https://sketchfab.com/3d-models/none-5a7ef5ea984544a29f584f53dee67753,2026-09-08,CC-BY-4.0,https://sketchfab.com/3d-models/none-5a7ef5ea984544a29f584f53dee67753,Yes (with attribution),Tesla Front Small Drive Unit by altrous / Brock Winberg (CC BY 4.0),Tesla Front Induction Small Drive Unit (SDU) - Incompatible Variant,0% (exterior scan only),no,GLTF/USDZ,unknown,Extreme: wrong motor type (front induction vs rear IPM-SynRM) and 1.7M faces,Excluded (Wrong variant: front induction motor; 0% interior coverage)
sketchfab-altrous-models-du,Tesla Model S Drive Unit,altrous (Scan credited to GrabCAD),https://sketchfab.com/3d-models/none-f4a6323a693843598f6bc24d802c8440,2026-09-08,CC-BY-4.0,https://sketchfab.com/3d-models/none-f4a6323a693843598f6bc24d802c8440,Yes (with attribution),Tesla Model S Drive Unit by altrous (CC BY 4.0),Tesla Model S Large Drive Unit (LDU) - Incompatible Variant,0% (exterior CAD shell only),no,GLTF/USDZ,unknown,Extreme: Model S induction drive unit with 2.18M faces and concentric layout,Excluded (Wrong vehicle model: Model S LDU; 0% interior coverage)
grabcad-baque-m3-rear-du,Tesla Model 3 Rear Drive Unit,Paul Baque,https://grabcad.com/library/tesla-model-3-rear-drive-unit-1,2026-09-08,GrabCAD Community Terms of Use,https://grabcad.com/terms_of_service,No (GrabCAD TOS prohibits web redistribution),Paul Baque on GrabCAD,2018 Tesla Model 3 Rear Drive Unit (exterior casing),0% (exterior housing only),no,STL/STEP/Fusion 360,unknown,High: 100x scaling fix required; solid boundary shell with no cavity,Excluded (License veto: GrabCAD TOS prohibits web redistribution; 0% interior coverage)
grabcad-oliver-m3-motor,Model 3 Tesla Motor,oliver,https://grabcad.com/library/model-3-tesla-motor-1,2026-09-08,GrabCAD Community Terms of Use,https://grabcad.com/terms_of_service,No (GrabCAD TOS prohibits web redistribution),oliver on GrabCAD,Tesla Model 3 Long Range rear motor exterior,0% (exterior casing only),no,STL,unknown,High: dense raw scan mesh with no internal nodes or cutaways,Excluded (License veto: GrabCAD TOS prohibits web redistribution; 0% interior coverage)
blendswap-14602-differential,differential Gear,particl3s,https://blendswap.com/blend/14602,2026-09-08,CC0-1.0,https://blendswap.com/blend/14602,Yes (Public Domain / CC0),None required (CC0),Generic automotive open bevel differential,100% of differential internals (cage; spider pinions; side gears),yes,BLEND,unknown,Medium: adapt bevel gear ratios and ring gear mounting to Tesla 83T ring gear,Viable component candidate (CC0 allows full commercial/web redistribution; mechanical donor for gears-internals)
blendswap-20550-differential,Automotive Differential,kelalaan,https://blendswap.com/blend/20550,2026-09-08,CC-BY-3.0,https://blendswap.com/blend/20550,Yes (with attribution),Automotive Differential by kelalaan (CC BY 3.0),Standard automotive bevel differential assembly,100% of differential internals,yes,BLEND,unknown,High: dense bevel teeth mesh; requires retopology for real-time WebGL,Viable secondary reference for differential internal mechanics
blendswap-16346-electric-motor,Electric motor,MarioVk1987,https://blendswap.com/blend/16346,2026-09-08,CC-BY-3.0,https://blendswap.com/blend/16346,Yes (with attribution),Electric motor by MarioVk1987 (CC BY 3.0),Industrial AC induction motor (ribbed frame; squirrel-cage rotor),50% (basic stator core and induction rotor),yes,BLEND,unknown,Complete rebuild: industrial squirrel-cage induction rotor is completely wrong for Tesla IPM-SynRM,Excluded (Incompatible motor technology: AC induction industrial vs Tesla IPM-SynRM)
blendswap-9975-pcb-cycles,Printed Circuit Board Cycles,biozz,https://blendswap.com/blend/9975,2026-09-08,CC0-1.0,https://blendswap.com/blend/9975,Yes (Public Domain / CC0),None required (CC0),Generic electronic components & populated PCB,60% of inverter board electronic details,yes,BLEND,unknown,Low: modular asset kit for detailing inverter DSP board and gate driver passives,Viable component donor for electronic detailing under CC0
github-damien-m3-inverter-board,Tesla-Model-3-Drive-Unit,Damien Maguire (OpenInverter),https://github.com/damienmaguire/Tesla-Model-3-Drive-Unit,2026-09-08,GPL-3.0,https://github.com/damienmaguire/Tesla-Model-3-Drive-Unit/blob/master/LICENSE,Yes (under GPL-3.0 copyleft terms),Damien Maguire / OpenInverter,Aftermarket Open-Source Replacement Logic Board CAD (Not OEM Tesla),100% of aftermarket logic board perimeter; mounting holes; connectors,yes (CAD PCB layers),DesignSpark PCB/KiCad,unknown,Medium: extract 2D/3D board outline and standoff coordinates for Blender modeling,Reference only (Aftermarket DIY board not OEM; copyleft applies to derivative geometry - use dimensional specs only)

